key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,tail-area probability,prob. of a causal effect,p fi,prob. fi,re fi
2CCAE25A7412DF43CB49CC41BB2684E3,org/mockserver/serialization/serializers/response/TimesSerializer,serialize,(Lorg/mockserver/matchers/Times;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,21,-1,1,throw_e,0.12,87.91,0.29,71.13,26.85
D85331D2E3C5304B79D2DE343ADE5F6F,org/mockserver/serialization/serializers/response/TimesSerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,13,-1,1,throw_e,0.22,78.12,0.22,78.22,25.94
06C848A0C071F9ECD9CD67AFA95B91BD,org/mockserver/serialization/serializers/request/HttpRequestSerializer,serialize,(Lorg/mockserver/model/HttpRequest;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,22,-1,1,throw_e,0.16,84.12,0.07,92.91,22.83
C2118F0D82A43AE8B8973D5FF925C540,org/mockserver/serialization/serializers/request/HttpRequestSerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,14,-1,1,throw_e,0.28,72.03,0.33,67.03,20.58
8CE88260A3D12922CCC6843E47180765,org/mockserver/serialization/serializers/body/StringBodySerializer,serialize,(Lorg/mockserver/model/StringBody;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,21,-1,1,throw_e,0.11,88.61,0.16,84.42,21.61
29F5BBD3D37A423D6644539E41174C96,org/mockserver/serialization/serializers/body/StringBodySerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,13,-1,1,throw_e,0.32,67.83,0.08,91.61,25.23
F52412C895008E8C0FC5B0AA2EB39DED,org/mockserver/serialization/serializers/string/NottableStringSerializer,serialize,(Lorg/mockserver/model/NottableString;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,23,-1,1,throw_e,0.08,92.01,0.22,77.52,21.92
2B8B82BCC55E18E37FC593F39E0A52D5,org/mockserver/serialization/serializers/string/NottableStringSerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,15,-1,1,throw_e,0.15,84.62,0.14,86.31,24.52
214C94C630E25A343EEA90A74BE09574,org/mockserver/serialization/serializers/response/HttpResponseSerializer,serialize,(Lorg/mockserver/model/HttpResponse;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,21,-1,1,throw_e,0.2,80.42,0.08,91.71,21.9
EE20FEFDE9F8F3CE4A4C679F977E3E74,org/mockserver/serialization/serializers/response/HttpResponseSerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,13,-1,1,throw_e,0.21,79.32,0.1,90.11,23.98
1B46E41B94A21C0FCB4AC9DE9C80635E,org/mockserver/serialization/serializers/collections/KeysToMultiValuesSerializer,serialize,(Lorg/mockserver/model/KeysToMultiValues;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,25,-1,1,throw_e,0.22,77.72,0.28,71.83,24.37
D78E00742D05EBCF80F10F0B94B41AAF,org/mockserver/serialization/serializers/collections/KeysToMultiValuesSerializer,serialize,(Ljava/lang/Object;Lcom/fasterxml/jackson/core/JsonGenerator;Lcom/fasterxml/jackson/databind/SerializerProvider;)V,java/io/IOException,0,17,-1,1,throw_e,0.18,82.32,0.18,82.42,23.96
1151018A92DEA5959B046E00828505E2,org/mockserver/mockserver/MockServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;)V,java/lang/Exception,0,48,-1,1,throw_e,0.36,64.14,0.18,82.12,23.12
ED814D4D908A5EC519B8A6EE8C8DEE5C,org/mockserver/unification/HttpContentLengthRemover,encode,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;Ljava/util/List;)V,java/lang/Exception,0,15,-1,1,throw_e,0.29,70.83,0.15,84.92,24.5
EAF8133C7946510AC3E0F039D0D2D383,org/mockserver/dashboard/DashboardWebSocketServerHandler,channelRead,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;)V,java/lang/Exception,0,69,-1,1,throw_e,0.09,90.51,0.07,93.11,22.38
4941036687677F77430561C09B400F18,org/mockserver/codec/MockServerRequestDecoder,decode,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;Ljava/util/List;)V,java/lang/Exception,0,23,-1,1,throw_e,0.31,69.13,0.26,74.33,24.32
4525613C4C1838DE735DA8CCB58B05D3,org/mockserver/codec/MockServerResponseEncoder,encode,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Object;Ljava/util/List;)V,java/lang/Exception,0,29,-1,1,throw_e,0.25,74.53,0.49,51.05,23.54
