base-image:version,count,java_version
java:8,122,"openjdk version ""1.8.0_111"""
openjdk:8-jdk-alpine,88,"openjdk version ""1.8.0_212"""
openjdk:8-jre-alpine,80,"openjdk version ""1.8.0_212"""
openjdk:8-jre,47,"openjdk version ""1.8.0_232"""
java:8-jre,46,"openjdk version ""1.8.0_111"""
ubuntu:16.04,40,
frolvlad/alpine-oraclejdk8:slim,40,
java:8-jre-alpine,39,"openjdk version ""1.8.0_111-internal"""
busybox:latest,35,
openjdk:8,32,"openjdk version ""1.8.0_232"""
ubuntu:14.04,28,
ubuntu:18.04,27,
scratch,22,
openjdk:8u151-jre-alpine,21,"openjdk version ""1.8.0_151"""
java:openjdk-8u111-alpine,20,"openjdk version ""1.8.0_111-internal"""
openjdk:8-jdk,20,"openjdk version ""1.8.0_232"""
openjdk:8-alpine,19,"openjdk version ""1.8.0_212"""
openjdk:8u171-alpine3.7,18,"openjdk version ""1.8.0_171"""
java:8-jdk,16,"openjdk version ""1.8.0_111"""
glassfish:4.1,16,"openjdk version ""1.8.0_102"""
ubuntu,15,
ubuntu:trusty,14,
java:7,13,"java version ""1.7.0_111"""
anapsix/alpine-java:8_jdk,13,"java version ""1.8.0_202"""
openjdk:8u151-jre-alpine3.7,13,"openjdk version ""1.8.0_151"""
