key,className,methodName,methodSignature,exceptionType,indexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,downloaded the file,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count
D5798ECCBB0DBC5527D110D4D04D66E3,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,1,1,throw_e,yes,1,-,-,-,-,-,-,-
BEF5221F0F67A501CCBD50434ED2DA20,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,1,1,throw_e,yes,1,-,-,-,-,-,-,-
E12F694FF36A57AB9094D0E4874C6B34,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,1,1,throw_e,yes,1,-,-,-,-,-,-,-
850EB6E160B35391DFA9188281179D87,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,1,1,throw_e,yes,1620,-,-,-,-,-,-,-
41DB22A3255709363093364AF98A26AD,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/io/IOException,0,1,1,throw_e,yes,1,-,-,-,-,-,-,-
1A4E659C4406FBC1123099BA32BCCCE1,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/security/NoSuchAlgorithmException,1,1,1,throw_e,yes,1,-,-,-,-,-,-,-
F56E57DC4D61058A11E5D6874AF554E4,com/turn/ttorrent/client/SharedTorrent,init,()V,java/lang/InterruptedException,0,1,1,throw_e,yes,1,-,-,-,-,-,-,-
0D98F7077008AEE2296E24F8B20F07E0,com/turn/ttorrent/client/SharedTorrent,init,()V,java/io/IOException,1,1,1,throw_e,yes,1,-,-,-,-,-,-,-
F4C4509642F7A9BD518835DA5B37D42C,com/turn/ttorrent/client/SharedTorrent,validatePieces,(Ljava/util/List;)V,java/io/IOException,0,1,1,throw_e,yes,149,-,-,-,-,-,-,-
EB72450148CE82D0D42A736F51AC0A5F,com/turn/ttorrent/client/SharedTorrent,finish,()V,java/io/IOException,0,1,1,throw_e,yes,1,-,-,-,-,-,-,-
842BE603129F430ADFD624A04CF1BB31,com/turn/ttorrent/client/SharedTorrent,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,1,1,throw_e,yes,1620,-,-,-,-,-,-,-
E71297E279783A3B576A0FE24DF640FB,com/turn/ttorrent/common/Torrent,hash,([B)[B,java/security/NoSuchAlgorithmException,0,1,1,throw_e,yes,2811,-,-,-,-,-,-,-
2C8FEDA68946D411F3AA6DCD37466CF2,com/turn/ttorrent/bcodec/BDecoder,bdecode,(Ljava/io/InputStream;)Lcom/turn/ttorrent/bcodec/BEValue;,java/io/IOException,0,1,1,throw_e,yes,90,-,-,-,-,-,-,-
20C19939CA1267A1F3E5739B0DC79BB7,com/turn/ttorrent/bcodec/BDecoder,getNextIndicator,()I,java/io/IOException,0,1,1,throw_e,yes,204,-,-,-,-,-,-,-
